city,dev_role,visitors,share,loc_quo,cities,lat,long
waterloo_kitchener_cambridge,embedded developers,2382,0.15502766026684023,2.1282370268547495,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,front-end web,971,0.06319557435730556,0.6458806049614597,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,full-stack web,8246,0.5366742596810934,0.9329648033822308,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,graphics programmers,246,0.016010413276928082,0.9852089864940994,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,ios developers,412,0.026814188089814513,1.3018423850594176,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,machine learning specialists,1062,0.06911812561015294,1.7753688846397997,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
waterloo_kitchener_cambridge,systems administrators,1192,0.07757891311422063,0.7663036205426441,"Waterloo, Kitchener, Cambridge",43.464258,-80.52041
winnipeg,android developers,267,0.025577162563463932,0.8522553692411468,Winnipeg,49.899754,-97.137494
winnipeg,back-end web,1514,0.14503304914263818,1.0575189240174625,Winnipeg,49.899754,-97.137494
winnipeg,data scientists,363,0.03477344573234984,0.9226027878546027,Winnipeg,49.899754,-97.137494
winnipeg,database administrators,682,0.06533192834562697,1.105001285983354,Winnipeg,49.899754,-97.137494
winnipeg,desktop developers,286,0.0273972602739726,0.7511432971414954,Winnipeg,49.899754,-97.137494
winnipeg,embedded developers,567,0.0543155474662324,0.7456498992022009,Winnipeg,49.899754,-97.137494
winnipeg,front-end web,1178,0.11284605805153751,1.1533257033119655,Winnipeg,49.899754,-97.137494
winnipeg,full-stack web,6182,0.5922023182297155,1.0294958430054029,Winnipeg,49.899754,-97.137494
winnipeg,graphics programmers,193,0.01848836095411438,1.1376907667829423,Winnipeg,49.899754,-97.137494
winnipeg,ios developers,153,0.014656576300411917,0.7115841875884139,Winnipeg,49.899754,-97.137494
winnipeg,machine learning specialists,355,0.034007088801609346,0.8735064323950814,Winnipeg,49.899754,-97.137494
winnipeg,systems administrators,932,0.08928058243126737,0.8818895601244914,Winnipeg,49.899754,-97.137494
